Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ceiling90,Uniqueness,Avg_Ownership
1,Baker Mayfield,Javonte Williams,Rico Dowdle,Puka Nacua,George Pickens,Tre Tucker,Darren Waller,Kenneth Gainwell,Miami Dolphins,60000,138.0,161.1,100.0,0.0
2,Dak Prescott,Christian McCaffrey,Travis Etienne Jr.,CeeDee Lamb,Emeka Egbuka,George Pickens,David Martin-Robinson,Raheim Sanders,Miami Dolphins,59900,123.2,149.7,100.0,0.0
3,Lamar Jackson,Javonte Williams,Quinshon Judkins,CeeDee Lamb,George Pickens,Ricky Pearsall,David Martin-Robinson,Tre Tucker,Arizona Cardinals,59800,125.6,140.0,100.0,0.0
