Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Dak Prescott,Jonathan Taylor,Kenneth Gainwell,Puka Nacua,CeeDee Lamb,George Pickens,David Martin-Robinson,Zaire Mitchell-Paden,Miami Dolphins,60000,124.5,0.0
2,Lamar Jackson,Javonte Williams,Ameer Abdullah,Puka Nacua,CeeDee Lamb,George Pickens,David Martin-Robinson,Michael Pittman Jr.,Carolina Panthers,60000,129.6,0.0
3,Dak Prescott,Bucky Irving,Quinshon Judkins,Puka Nacua,CeeDee Lamb,George Pickens,David Martin-Robinson,Skyy Moore,Arizona Cardinals,59900,120.7,0.0
