Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Lamar Jackson,Bucky Irving,Chuba Hubbard,Puka Nacua,George Pickens,Keenan Allen,Will Dissly,Raheim Sanders,Los Angeles Chargers,60000,82.4,0.0
2,Lamar Jackson,Christian McCaffrey,Josh Jacobs,Quentin Johnston,DK Metcalf,Ladd McConkey,Will Dissly,Devontez Walker,New Orleans Saints,60000,67.8,0.0
