Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ceiling90,Uniqueness,Avg_Ownership
1,Dak Prescott,Jonathan Taylor,Javonte Williams,Emeka Egbuka,George Pickens,Tre Tucker,David Martin-Robinson,Kenneth Gainwell,Arizona Cardinals,60000,135.3,155.5,100.0,0.0
2,Dak Prescott,Christian McCaffrey,Javonte Williams,Puka Nacua,CeeDee Lamb,Devontez Walker,David Martin-Robinson,Kenneth Gainwell,Miami Dolphins,59900,134.2,149.6,100.0,0.0
