Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Justin Fields,Jonathan Taylor,Omarion Hampton,Courtland Sutton,Michael Pittman Jr.,Tre Tucker,Jake Ferguson,Darren Waller,Indianapolis Colts,59600,177.1,0.0
2,Justin Fields,Omarion Hampton,Javonte Williams,CeeDee Lamb,Emeka Egbuka,Zay Flowers,Darren Waller,Keenan Allen,Carolina Panthers,60000,172.6,0.0
