Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Matthew Stafford,Christian McCaffrey,Javonte Williams,CeeDee Lamb,George Pickens,Tory Horton,Darren Waller,Devontez Walker,Jacksonville Jaguars,60000,140.3,0.0
2,Dak Prescott,Javonte Williams,Quinshon Judkins,Puka Nacua,Emeka Egbuka,Jalen Brooks,Tyler Warren,Kenneth Gainwell,Arizona Cardinals,59900,131.4,0.0
3,Dak Prescott,Jonathan Taylor,Quinshon Judkins,Quentin Johnston,Tre Tucker,KaVontae Turpin,Trey McBride,Ryan Flournoy,Indianapolis Colts,60000,124.9,0.0
