Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Uniqueness,Avg_Ownership
1,Daniel Jones,Jonathan Taylor,Ashton Jeanty,Garrett Wilson,George Pickens,Michael Pittman Jr.,Darren Waller,J.K. Dobbins,Carolina Panthers,60000,109.4,68.0,12.9
2,Lamar Jackson,Jonathan Taylor,De'Von Achane,Emeka Egbuka,Quentin Johnston,Devontez Walker,Darren Waller,Ashton Dulin,Indianapolis Colts,59900,99.4,65.0,14.0
