Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Lamar Jackson,Jonathan Taylor,Javonte Williams,CeeDee Lamb,Romeo Doubs,Devontez Walker,Darren Waller,Kenneth Gainwell,Miami Dolphins,60000,139.8,0.0
2,Lamar Jackson,Christian McCaffrey,Quinshon Judkins,Puka Nacua,Tre Tucker,Devontez Walker,Darren Waller,Kenneth Gainwell,Carolina Panthers,60000,139.6,0.0
3,Baker Mayfield,Jonathan Taylor,Christian McCaffrey,CeeDee Lamb,Tre Tucker,Devontez Walker,Darren Waller,Ameer Abdullah,Carolina Panthers,60000,136.4,0.0
