Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Uniqueness,Avg_Ownership
1,Dak Prescott,Jonathan Taylor,Javonte Williams,CeeDee Lamb,Emeka Egbuka,Michael Pittman Jr.,David Martin-Robinson,Skyy Moore,Miami Dolphins,60000,121.2,100.0,0.0
2,Teddy Bridgewater,Christian McCaffrey,Javonte Williams,Puka Nacua,George Pickens,Ricky Pearsall,Brevyn Spann-Ford,Kenneth Gainwell,Arizona Cardinals,59600,111.3,100.0,0.0
