Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Uniqueness,Avg_Ownership
1,Lamar Jackson,Jonathan Taylor,Bucky Irving,CeeDee Lamb,Emeka Egbuka,Tre Tucker,Will Mallory,Devontez Walker,Arizona Cardinals,59900,103.1,63.0,14.8
2,Bo Nix,Jonathan Taylor,Omarion Hampton,Garrett Wilson,Michael Pittman Jr.,Jaylen Waddle,Darren Waller,Chuba Hubbard,Indianapolis Colts,59900,97.9,67.0,13.1
