Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
123992-138643,WR,Jason,Jason Brownlee,Brownlee,0,1,1000,1500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-71957,WR,Quintez,Quintez Cephus,Cephus,,0,1000,1500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-103192,TE,Jared,Jared Wiley,Wiley,0.8999999761581421,1,1000,1500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-103591,QB,Graham,Graham Mertz,Mertz,,0,1000,1500,HOU@KC,HOU,KC,NA,Coach's decision,,,,MVP - 1.5X Points/AnyFLEX
123992-73398,QB,Chris,Chris Oladokun,Oladokun,0.25,2,1000,1500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-52409,RB,Jakob,Jakob Johnson,Johnson,,0,1000,1500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-70601,TE,Harrison,Harrison Bryant,Bryant,0.42500001192092896,4,1000,1500,HOU@KC,HOU,KC,IR,Neck,,,,MVP - 1.5X Points/AnyFLEX
123992-152526,TE,Jake,Jake Briningstool,Briningstool,,0,1000,1500,HOU@KC,KC,HOU,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
123992-109007,WR,Josh,Josh Kelly,Kelly,,0,1000,1500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-176467,WR,Jalen,Jalen Royals,Royals,0,1,1000,1500,HOU@KC,KC,HOU,NA,Coach's decision,,,,MVP - 1.5X Points/AnyFLEX
123992-156374,TE,Tre,Tre Watson,Watson,,0,1000,1500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-42077,TE,James,James Winchester,Winchester,0,2,1000,1500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-112101,WR,Jared,Jared Wayne,Wayne,3,1,1000,1500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-93540,RB,British,British Brooks,Brooks,0.5,3,1000,1500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
123992-156523,RB,Carson,Carson Steele,Steele,1.569230739886944,13,1000,1500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,1.600000023841858,2,1000,1500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
123992-131694,TE,Luke,Luke Lachey,Lachey,,0,1000,1500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
