Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,
121309-73048,WR,DK,DK Metcalf,Metcalf,13.649999618530300,4,7200,CLE@PIT,PIT,CLE,,,,,,WR/FLEX,
121309-87467,RB,Chuba,Chuba Hubbard,Hubbard,12.399999618530300,4,7200,DAL@CAR,CAR,DAL,Q,Calf,,,,RB/FLEX,
121309-169410,RB,Quinshon,Quinshon Judkins,Judkins,15.100000381469700,4,7100,CLE@PIT,CLE,PIT,,,,,,RB/FLEX,
121309-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,16.424000549316400,5,7100,LAC@MIA,MIA,LAC,Q,Hip,,,,QB,
121309-89680,TE,Jake,Jake Ferguson,Ferguson,13.139999389648400,5,7000,DAL@CAR,DAL,CAR,,,,,,TE/FLEX,
121309-32384,WR,Mike,Mike Evans,Evans,9,3,7000,SF@TB,TB,SF,O,Hamstring,,,,WR/FLEX,
121309-119606,QB,Bryce,Bryce Young,Young,14.08800048828130,5,7000,DAL@CAR,CAR,DAL,,,,,,QB,
121309-103342,RB,Kenneth,Kenneth Walker III,Walker III,12.65999984741210,5,7000,SEA@JAC,SEA,JAC,,,,,,RB/FLEX,
121309-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,10.519999694824200,5,6900,ARI@IND,ARI,IND,,,,,,WR/FLEX,
121309-42104,RB,Alvin,Alvin Kamara,Kamara,9.7,5,6900,NE@NO,NO,NE,Q,Ankle,,,,RB/FLEX,
121309-6894,QB,Aaron,Aaron Rodgers,Rodgers,15.885000228881800,4,6900,CLE@PIT,PIT,CLE,,,,,,QB,
121309-137530,TE,Tyler,Tyler Warren,Warren,10.95999984741210,5,6800,ARI@IND,IND,ARI,,,,,,TE/FLEX,
121309-112295,WR,Zay,Zay Flowers,Flowers,12.38000030517580,5,6800,LAR@BAL,BAL,LAR,Q,Shoulder,,,,WR/FLEX,
121309-137902,RB,Rachaad,Rachaad White,White,9.05999984741211,5,6800,SF@TB,TB,SF,,,,,,RB/FLEX,
121309-26483,QB,Geno,Geno Smith,Smith,14.88800048828130,5,6800,TEN@LV,LV,TEN,,,,,,QB,
121309-90573,WR,Jaylen,Jaylen Waddle,Waddle,12.4,5,6700,LAC@MIA,MIA,LAC,,,,,,WR/FLEX,
121309-160303,TE,Tucker,Tucker Kraft,Kraft,11.449999809265100,4,6700,CIN@GB,GB,CIN,,,,,,TE/FLEX,
121309-89951,QB,Trevor,Trevor Lawrence,Lawrence,16.047999572753900,5,6700,SEA@JAC,JAC,SEA,,,,,,QB,
121309-72297,RB,Rico,Rico Dowdle,Dowdle,10.54000015258790,5,6600,DAL@CAR,CAR,DAL,,,,,,RB/FLEX,
121309-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,10.019999694824200,5,6600,DAL@CAR,CAR,DAL,,,,,,WR/FLEX,
121309-111557,QB,Spencer,Spencer Rattler,Rattler,15.080000305175800,5,6600,NE@NO,NO,NE,,,,,,QB,
121309-151794,TE,Brock,Brock Bowers,Bowers,9.25,4,6500,TEN@LV,LV,TEN,Q,Knee - pcl,,,,TE/FLEX,
121309-102796,WR,Ricky,Ricky Pearsall,Pearsall,12.074999809265100,4,6500,SF@TB,SF,TB,Q,Knee - pcl,,,,WR/FLEX,
121309-60840,QB,Jake,Jake Browning,Browning,14.045000076293900,4,6500,CIN@GB,CIN,GB,,,,,,QB,
121309-103698,QB,Dillon,Dillon Gabriel,Gabriel,6.9533335367838500,3,6400,CLE@PIT,CLE,PIT,,,,,,QB,
121309-133472,WR,Ladd,Ladd McConkey,McConkey,7.55999984741211,5,6400,LAC@MIA,LAC,MIA,,,,,,WR/FLEX,
121309-89493,RB,Chase,Chase Brown,Brown,8.1,5,6400,CIN@GB,CIN,GB,,,,,,RB/FLEX,
121309-168356,QB,Cam,Cam Ward,Ward,7.951999664306640,5,6400,TEN@LV,TEN,LV,,,,,,QB,
121309-91750,TE,Trey,Trey McBride,McBride,9.6,5,6400,ARI@IND,ARI,IND,,,,,,TE/FLEX,
121309-6714,QB,Joe,Joe Flacco,Flacco,7.974999904632570,4,6300,CIN@GB,CIN,GB,,,,,,QB,
121309-29253,WR,Keenan,Keenan Allen,Allen,12.280000305175800,5,6300,LAC@MIA,LAC,MIA,,,,,,WR/FLEX,
121309-44715,QB,Cooper,Cooper Rush,Rush,1.9466667175293000,3,6300,LAR@BAL,BAL,LAR,,,,,,QB,
121309-94370,WR,Romeo,Romeo Doubs,Doubs,12.100000381469700,4,6200,CIN@GB,GB,CIN,,,,,,WR/FLEX,
121309-112057,RB,Jaylen,Jaylen Warren,Warren,12.966667175293000,3,6200,CLE@PIT,PIT,CLE,,,,,,RB/FLEX,
121309-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,12.860000610351600,5,6200,ARI@IND,IND,ARI,,,,,,WR/FLEX,
121309-103619,WR,Tre,Tre Tucker,Tucker,13.6,5,6100,TEN@LV,LV,TEN,,,,,,WR/FLEX,
121309-93539,RB,Michael,Michael Carter,Carter,7.949999809265140,2,6100,ARI@IND,ARI,IND,,,,,,RB/FLEX,
121309-89981,WR,Tee,Tee Higgins,Higgins,6.8599998474121100,5,6100,CIN@GB,CIN,GB,,,,,,WR/FLEX,
121309-52342,QB,Will,Will Grier,Grier,,0,6000,DAL@CAR,DAL,CAR,,,,,,QB,
121309-63634,WR,Jakobi,Jakobi Meyers,Meyers,8.3,5,6000,TEN@LV,LV,TEN,,,,,,WR/FLEX,
121309-61593,WR,Jauan,Jauan Jennings,Jennings,8.466666539510090,3,6000,SF@TB,SF,TB,Q,Ankle,,,,WR/FLEX,
121309-160938,QB,Quinn,Quinn Ewers,Ewers,,0,6000,LAC@MIA,MIA,LAC,,,,,,QB,
121309-86200,QB,Sean,Sean Clifford,Clifford,,0,6000,CIN@GB,CIN,GB,,,,,,QB,
121309-149696,QB,Trey,Trey Lance,Lance,2.859999895095830,1,6000,LAC@MIA,LAC,MIA,,,,,,QB,
121309-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437100,9,6000,TEN@LV,LV,TEN,IR,Wrist,,,,QB,
121309-45259,QB,Logan,Logan Woodside,Woodside,,0,6000,CLE@PIT,PIT,CLE,,,,,,QB,
121309-86243,QB,Will,Will Levis,Levis,10.995000203450500,12,6000,TEN@LV,TEN,LV,IR,Shoulder,,,,QB,
121309-91390,QB,Joe,Joe Milton III,Milton III,0.6399999856948850,1,6000,DAL@CAR,DAL,CAR,,,,,,QB,
121309-63759,RB,Tony,Tony Pollard,Pollard,10.38000030517580,5,6000,TEN@LV,TEN,LV,,,,,,RB/FLEX,
121309-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,0.8299999833107000,2,6000,ARI@IND,IND,ARI,,,,,,QB,
121309-90406,QB,Zach,Zach Wilson,Wilson,1.5800000429153400,1,6000,LAC@MIA,MIA,LAC,,,,,,QB,
121309-120105,QB,Will,Will Howard,Howard,,0,6000,CLE@PIT,PIT,CLE,IR,Hand,,,,QB,
121309-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,11.930000305175800,2,6000,LAR@BAL,LAR,BAL,,,,,,QB,
121309-88431,QB,Tyler,Tyler Shough,Shough,0,1,6000,NE@NO,NO,NE,,,,,,QB,
121309-70051,QB,Tyler,Tyler Huntley,Huntley,12.731999969482400,5,6000,LAR@BAL,BAL,LAR,,,,,,QB,
121309-110000,QB,Connor,Connor Bazelak,Bazelak,,0,6000,SF@TB,TB,SF,,,,,,QB,
121309-25011,TE,Darren,Darren Waller,Waller,16.25,2,6000,LAC@MIA,MIA,LAC,Q,Hip,,,,TE/FLEX,
121309-91583,QB,Stetson,Stetson Bennett IV,Bennett IV,0,1,6000,LAR@BAL,LAR,BAL,,,,,,QB,
121309-31170,QB,Brandon,Brandon Allen,Allen,2.7866665522257500,3,6000,TEN@LV,TEN,LV,,,,,,QB,
121309-40407,QB,Joshua,Joshua Dobbs,Dobbs,-0.20000000298023200,1,6000,NE@NO,NE,NO,,,,,,QB,
121309-53729,QB,Mason,Mason Rudolph,Rudolph,0.47999998927116400,1,6000,CLE@PIT,PIT,CLE,,,,,,QB,
121309-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0.11999999731779100,1,6000,SF@TB,TB,SF,,,,,,QB,
121309-102933,QB,Kedon,Kedon Slovis,Slovis,,0,6000,ARI@IND,ARI,IND,,,,,,QB,
121309-30231,QB,Jacoby,Jacoby Brissett,Brissett,0.10000000149011600,2,6000,ARI@IND,ARI,IND,,,,,,QB,
121309-94748,QB,Tommy,Tommy DeVito,DeVito,6.739999771118160,2,6000,NE@NO,NE,NO,,,,,,QB,
121309-30253,QB,Jeff,Jeff Driskel,Driskel,0,1,6000,TEN@LV,LV,TEN,,,,,,QB,
121309-64051,QB,Drew,Drew Lock,Lock,0.5,1,6000,SEA@JAC,SEA,JAC,,,,,,QB,
121309-208467,QB,Cam,Cam Miller,Miller,,0,6000,TEN@LV,LV,TEN,,,,,,QB,
121309-40534,QB,Mike,Mike White,White,1.1200000047683700,1,6000,CIN@GB,CIN,GB,,,,,,QB,
121309-41562,QB,Nick,Nick Mullens,Mullens,0.33000001311302200,4,6000,SEA@JAC,JAC,SEA,,,,,,QB,
121309-87691,QB,Malik,Malik Willis,Willis,7.399999891008650,7,6000,CIN@GB,GB,CIN,,,,,,QB,
121309-69294,QB,Skylar,Skylar Thompson,Thompson,2.626666704813640,3,6000,CLE@PIT,PIT,CLE,IR,Hamstring,,,,QB,
121309-90813,QB,Clayton,Clayton Tune,Tune,-0.3466666539510090,6,6000,CIN@GB,GB,CIN,,,,,,QB,
121309-139985,QB,Bailey,Bailey Zappe,Zappe,4.5,2,6000,CLE@PIT,CLE,PIT,,,,,,QB,
121309-61157,QB,Brett,Brett Rypien,Rypien,0,1,6000,CIN@GB,CIN,GB,,,,,,QB,
121309-86793,QB,Jake,Jake Haener,Haener,1.7799999713897700,8,6000,NE@NO,NO,NE,,,,,,QB,
121309-28434,QB,Trevor,Trevor Siemian,Siemian,,0,6000,TEN@LV,TEN,LV,,,,,,QB,
121309-154450,QB,Riley,Riley Leonard,Leonard,,0,6000,ARI@IND,IND,ARI,,,,,,QB,
121309-154462,QB,Jalen,Jalen Milroe,Milroe,-0.5333333412806190,3,6000,SEA@JAC,SEA,JAC,,,,,,QB,
121309-90981,QB,Adrian,Adrian Martinez,Martinez,,0,6000,SF@TB,SF,TB,,,,,,QB,
121309-63336,QB,Joe,Joe Burrow,Burrow,7.929999828338620,2,6000,CIN@GB,CIN,GB,IR,Toe,,,,QB,
121309-88937,QB,Carter,Carter Bradley,Bradley,,0,6000,SEA@JAC,JAC,SEA,,,,,,QB,
121309-92020,QB,Kenny,Kenny Pickett,Pickett,3.6342857905796600,7,6000,TEN@LV,LV,TEN,,,,,,QB,
121309-184183,QB,Shedeur,Shedeur Sanders,Sanders,,0,6000,CLE@PIT,CLE,PIT,,,,,,QB,
121309-14225,QB,Andy,Andy Dalton,Dalton,3.109999895095830,2,6000,DAL@CAR,CAR,DAL,,,,,,QB,
121309-85983,QB,Hendon,Hendon Hooker,Hooker,0.6700000166893010,4,6000,DAL@CAR,CAR,DAL,,,,,,QB,
121309-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,LAC@MIA,LAC,MIA,,,,,,QB,
121309-25079,WR,Stefon,Stefon Diggs,Diggs,11.280000305175800,5,5900,NE@NO,NE,NO,,,,,,WR/FLEX,
121309-87770,WR,Chris,Chris Olave,Olave,9.180000305175780,5,5900,NE@NO,NO,NE,,,,,,WR/FLEX,
121309-40845,TE,Hunter,Hunter Henry,Henry,10.3,5,5900,NE@NO,NE,NO,,,,,,TE/FLEX,
121309-103376,RB,Zach,Zach Charbonnet,Charbonnet,8.600000381469730,4,5900,SEA@JAC,SEA,JAC,,,,,,RB/FLEX,
121309-166916,WR,Matthew,Matthew Golden,Golden,5.25,4,5800,CIN@GB,GB,CIN,,,,,,WR/FLEX,
121309-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,6.919999694824220,5,5800,NE@NO,NE,NO,,,,,,RB/FLEX,
121309-52436,TE,Mark,Mark Andrews,Andrews,7.1400001525878900,5,5800,LAR@BAL,BAL,LAR,,,,,,TE/FLEX,
121309-170287,WR,Rashid,Rashid Shaheed,Shaheed,11.05999984741210,5,5800,NE@NO,NO,NE,,,,,,WR/FLEX,
121309-55335,TE,David,David Njoku,Njoku,7.1,5,5700,CLE@PIT,CLE,PIT,,,,,,TE/FLEX,
121309-64555,WR,Calvin,Calvin Ridley,Ridley,7.540000152587890,5,5700,TEN@LV,TEN,LV,,,,,,WR/FLEX,
121309-80289,WR,Kendrick,Kendrick Bourne,Bourne,8.725000381469730,4,5700,SF@TB,SF,TB,,,,,,WR/FLEX,
121309-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,8.759999847412110,5,5700,NE@NO,NE,NO,,,,,,RB/FLEX,
121309-91361,RB,Hassan,Hassan Haskins,Haskins,0.5,4,5600,LAC@MIA,LAC,MIA,,,,,,RB/FLEX,
121309-91467,TE,Jake,Jake Tonges,Tonges,8.819999694824220,5,5600,SF@TB,SF,TB,,,,,,TE/FLEX,
121309-90561,WR,Jerry,Jerry Jeudy,Jeudy,5.44000015258789,5,5600,CLE@PIT,CLE,PIT,,,,,,WR/FLEX,
121309-103252,RB,Zonovan,Zonovan Knight,Knight,2.9666665395100900,3,5600,ARI@IND,ARI,IND,,,,,,RB/FLEX,
121309-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,4.099999904632570,4,5600,CIN@GB,GB,CIN,,,,,,WR/FLEX,
121309-79970,WR,Cooper,Cooper Kupp,Kupp,6.519999694824220,5,5500,SEA@JAC,SEA,JAC,,,,,,WR/FLEX,
121309-129305,WR,Josh,Josh Downs,Downs,5.5,5,5500,ARI@IND,IND,ARI,,,,,,WR/FLEX,
121309-94579,RB,Emari,Emari Demercado,Demercado,3.799999952316280,4,5500,ARI@IND,ARI,IND,,,,,,RB/FLEX,
121309-60957,WR,KaVontae,KaVontae Turpin,Turpin,7.425000190734860,4,5500,DAL@CAR,DAL,CAR,Q,Foot,,,,WR/FLEX,
121309-137953,TE,AJ,AJ Barner,Barner,8.95999984741211,5,5500,SEA@JAC,SEA,JAC,,,,,,TE/FLEX,
121309-103587,TE,Brenton,Brenton Strange,Strange,6.079999923706060,5,5400,SEA@JAC,JAC,SEA,IR,Quadriceps,,,,TE/FLEX,
121309-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,4.099999904632570,2,5400,SF@TB,TB,SF,Q,Lower leg,,,,WR/FLEX,
121309-128633,RB,Kimani,Kimani Vidal,Vidal,1.2000000476837200,2,5400,LAC@MIA,LAC,MIA,,,,,,RB/FLEX,
121309-119653,WR,Kayshon,Kayshon Boutte,Boutte,7.259999847412110,5,5400,NE@NO,NE,NO,,,,,,WR/FLEX,
121309-160620,RB,Bhayshul,Bhayshul Tuten,Tuten,5.579999923706060,5,5400,SEA@JAC,JAC,SEA,Q,Shoulder,,,,RB/FLEX,
121309-184184,WR,Travis,Travis Hunter,Hunter,5.240000152587890,5,5400,SEA@JAC,JAC,SEA,,,,,,WR/FLEX,
121309-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,6.259999847412110,5,5300,LAR@BAL,BAL,LAR,,,,,,WR/FLEX,
121309-87432,WR,Cedric,Cedric Tillman,Tillman,7.025000095367430,4,5300,CLE@PIT,CLE,PIT,IR,Hamstring,,,,WR/FLEX,
121309-172699,TE,Harold,Harold Fannin Jr.,Fannin Jr.,6.840000152587890,5,5300,CLE@PIT,CLE,PIT,,,,,,TE/FLEX,
121309-120657,RB,Kendre,Kendre Miller,Miller,5.279999923706060,5,5300,NE@NO,NO,NE,,,,,,RB/FLEX,
121309-64808,TE,Juwan,Juwan Johnson,Johnson,8.019999694824220,5,5200,NE@NO,NO,NE,Q,Ankle,,,,TE/FLEX,
121309-86312,WR,Alec,Alec Pierce,Pierce,7.200000127156580,3,5200,ARI@IND,IND,ARI,Q,Concussion,,,,WR/FLEX,
121309-137516,WR,Parker,Parker Washington,Washington,6,5,5200,SEA@JAC,JAC,SEA,,,,,,WR/FLEX,
121309-201233,WR,Ryan,Ryan Flournoy,Flournoy,8.366666793823240,3,5200,DAL@CAR,DAL,CAR,,,,,,WR/FLEX,
121309-90870,WR,Calvin,Calvin Austin III,Austin III,7.724999904632570,4,5200,CLE@PIT,PIT,CLE,Q,Shoulder,,,,WR/FLEX,
121309-90933,RB,Antonio,Antonio Gibson,Gibson,4.44000015258789,5,5200,NE@NO,NE,NO,O,Knee - acl,,,,RB/FLEX,
121309-71521,RB,Justice,Justice Hill,Hill,7.459999847412110,5,5200,LAR@BAL,BAL,LAR,,,,,,RB/FLEX,
121309-166112,RB,Ollie,Ollie Gordon II,Gordon II,2.6399999618530300,5,5100,LAC@MIA,MIA,LAC,,,,,,RB/FLEX,
121309-120042,WR,Jalen,Jalen McMillan,McMillan,8.714285714285710,14,5100,SF@TB,TB,SF,IR,Neck,,,,WR/FLEX,
121309-107293,RB,Tyjae,Tyjae Spears,Spears,1.399999976158140,1,5100,TEN@LV,TEN,LV,Q,Ankle,,,,RB/FLEX,
121309-172861,WR,Elic,Elic Ayomanor,Ayomanor,7.180000305175780,5,5100,TEN@LV,TEN,LV,,,,,,WR/FLEX,
121309-85845,WR,Rashod,Rashod Bateman,Bateman,4.44000015258789,5,5100,LAR@BAL,BAL,LAR,,,,,,WR/FLEX,
121309-27477,WR,Sterling,Sterling Shepard,Shepard,6.740000152587890,5,5100,SF@TB,TB,SF,,,,,,WR/FLEX,
121309-48116,TE,Jonnu,Jonnu Smith,Smith,5.025000095367430,4,5100,CLE@PIT,PIT,CLE,,,,,,TE/FLEX,
121309-71705,TE,Noah,Noah Fant,Fant,6,3,5000,CIN@GB,CIN,GB,,,,,,TE/FLEX,
121309-71845,RB,Miles,Miles Sanders,Sanders,5.675000190734860,4,5000,DAL@CAR,DAL,CAR,Q,Ankle,,,,RB/FLEX,
121309-12533,D,Green Bay,Green Bay Packers,Packers,5,4,5000,CIN@GB,GB,CIN,,,,,,DEF,
121309-93538,WR,Dyami,Dyami Brown,Brown,6.650000095367430,4,5000,SEA@JAC,JAC,SEA,Q,Shoulder,,,,WR/FLEX,
121309-38264,WR,Demarcus,Demarcus Robinson,Robinson,3.950000047683720,2,5000,SF@TB,SF,TB,,,,,,WR/FLEX,
121309-110974,WR,Malik,Malik Washington,Washington,4.540000152587890,5,5000,LAC@MIA,MIA,LAC,,,,,,WR/FLEX,
121309-45565,TE,Taysom,Taysom Hill,Hill,0.6600000262260440,1,5000,NE@NO,NO,NE,,,,,,TE/FLEX,
121309-89612,WR,Michael,Michael Wilson,Wilson,3.0399999618530300,5,5000,ARI@IND,ARI,IND,,,,,,WR/FLEX,
121309-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,11.600000381469700,4,5000,CLE@PIT,PIT,CLE,,,,,,RB/FLEX,
121309-86244,TE,Pat,Pat Freiermuth,Freiermuth,3.3333333333333300,3,4900,CLE@PIT,PIT,CLE,,,,,,TE/FLEX,
121309-90533,RB,Jerome,Jerome Ford,Ford,3.5,5,4900,CLE@PIT,CLE,PIT,,,,,,RB/FLEX,
121309-114198,WR,Xavier,Xavier Legette,Legette,4.299999872843430,3,4900,DAL@CAR,CAR,DAL,,,,,,WR/FLEX,
121309-29501,WR,Brandin,Brandin Cooks,Cooks,3.2599998474121100,5,4900,NE@NO,NO,NE,,,,,,WR/FLEX,
121309-137059,RB,Sean,Sean Tucker,Tucker,0.3200000047683720,5,4900,SF@TB,TB,SF,,,,,,RB/FLEX,
121309-56265,TE,Mike,Mike Gesicki,Gesicki,2.0200000762939500,5,4900,CIN@GB,CIN,GB,,,,,,TE/FLEX,
121309-185593,WR,Andrei,Andrei Iosivas,Iosivas,5.200000127156580,3,4800,CIN@GB,CIN,GB,,,,,,WR/FLEX,
121309-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,8.5,4,4800,CLE@PIT,PIT,CLE,,,,,,DEF,
121309-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,2.4200000762939500,5,4800,SF@TB,SF,TB,,,,,,RB/FLEX,
121309-88548,WR,Jalen,Jalen Tolbert,Tolbert,3.4200000762939500,5,4800,DAL@CAR,DAL,CAR,,,,,,WR/FLEX,
121309-137967,RB,Blake,Blake Corum,Corum,4.340000152587890,5,4800,LAR@BAL,LAR,BAL,,,,,,RB/FLEX,
121309-86811,TE,Cade,Cade Otton,Otton,4.125,4,4800,SF@TB,TB,SF,,,,,,TE/FLEX,
121309-92976,WR,Tutu,Tutu Atwell,Atwell,4.8799999237060500,5,4800,LAR@BAL,LAR,BAL,,,,,,WR/FLEX,
121309-174245,WR,Isaiah,Isaiah Bond,Bond,3.3599998474121100,5,4700,CLE@PIT,CLE,PIT,,,,,,WR/FLEX,
121309-87260,TE,Isaiah,Isaiah Likely,Likely,1.7000000476837200,1,4700,LAR@BAL,BAL,LAR,,,,,,TE/FLEX,
121309-52451,RB,Samaje,Samaje Perine,Perine,1.2,5,4700,CIN@GB,CIN,GB,,,,,,RB/FLEX,
121309-88297,TE,Chig,Chig Okonkwo,Okonkwo,5.1400001525878900,5,4700,TEN@LV,TEN,LV,,,,,,TE/FLEX,
121309-151789,WR,Adonai,Adonai Mitchell,Mitchell,3.0399999618530300,5,4700,ARI@IND,IND,ARI,,,,,,WR/FLEX,
121309-12550,D,Seattle,Seattle Seahawks,Seahawks,9.6,5,4700,SEA@JAC,SEA,JAC,,,,,,DEF,
121309-152103,RB,Jaylen,Jaylen Wright,Wright,1.9384615971491900,13,4700,LAC@MIA,MIA,LAC,,,,,,RB/FLEX,
121309-57986,WR,Hunter,Hunter Renfrow,Renfrow,5.44000015258789,5,4700,DAL@CAR,CAR,DAL,,,,,,WR/FLEX,
121309-134837,WR,Tory,Tory Horton,Horton,7.959999847412110,5,4700,SEA@JAC,SEA,JAC,,,,,,WR/FLEX,
121309-47870,TE,Tyler,Tyler Higbee,Higbee,3.066666603088380,3,4700,LAR@BAL,LAR,BAL,Q,Hip,,,,TE/FLEX,
121309-60451,TE,Tyler,Tyler Conklin,Conklin,2.75,4,4600,LAC@MIA,LAC,MIA,,,,,,TE/FLEX,
121309-28744,RB,Raheem,Raheem Mostert,Mostert,5,2,4600,TEN@LV,LV,TEN,,,,,,RB/FLEX,
121309-111876,WR,DeMario,DeMario Douglas,Douglas,3.2249999046325700,4,4600,NE@NO,NE,NO,,,,,,WR/FLEX,
121309-89627,WR,Brycen,Brycen Tremayne,Tremayne,3.825000047683720,4,4600,DAL@CAR,CAR,DAL,,,,,,WR/FLEX,
121309-104012,WR,Ashton,Ashton Dulin,Dulin,2.575000047683720,4,4600,ARI@IND,IND,ARI,,,,,,WR/FLEX,
121309-172646,RB,Trevor,Trevor Etienne,Etienne,1.1600000381469700,5,4600,DAL@CAR,CAR,DAL,,,,,,RB/FLEX,
121309-201547,WR,Jalen,Jalen Coker,Coker,6.6299997965494800,12,4600,DAL@CAR,CAR,DAL,IR,Quadriceps,,,,WR/FLEX,
